ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
8002592	3.39e-03	1.90e-03	3.313229	-2.065297	0.487179	AP1G1	adaptor related protein complex 1 gamma 1 subunit
7993946	3.39e-03	1.90e-03	3.31314	-2.065535	0.425174	EEF2K	eukaryotic elongation factor 2 kinase
7945767	3.39e-03	1.90e-03	-3.312999	-2.065912	-0.255894	CDKN1C	cyclin dependent kinase inhibitor 1C
8039109	3.39e-03	1.90e-03	-3.312608	-2.066954	-0.396701	VSTM1	V-set and transmembrane domain containing 1
8002344	3.39e-03	1.90e-03	-3.312604	-2.066963	-0.19309	EXOSC6	exosome component 6
7979357	3.39e-03	1.90e-03	-3.31243	-2.067427	-0.382703	OTX2	orthodenticle homeobox 2
8010747	3.40e-03	1.90e-03	3.312048	-2.068446	0.330272	GPS1	G protein pathway suppressor 1
8008493	3.40e-03	1.90e-03	3.311917	-2.068794	0.640095	LUC7L3	LUC7 like 3 pre-mRNA splicing factor
8170076	3.40e-03	1.91e-03	-3.311738	-2.069273	-0.375707	SAGE1	sarcoma antigen 1
8167797	3.40e-03	1.91e-03	3.311479	-2.069963	0.371065	GNL3L	G protein nucleolar 3 like
8029988	3.40e-03	1.91e-03	-3.311261	-2.070542	-0.455651	ELSPBP1	epididymal sperm binding protein 1
8036333	3.40e-03	1.91e-03	3.311197	-2.070712	0.540776	ZNF529	zinc finger protein 529
8051061	3.41e-03	1.91e-03	-3.310859	-2.071615	-0.285877	UCN	urocortin
8122131	3.41e-03	1.91e-03	-3.310858	-2.071617	-0.563096	TAAR6	trace amine associated receptor 6
7999326	3.41e-03	1.91e-03	3.310705	-2.072024	0.47893	USP7	ubiquitin specific peptidase 7
7923578	3.41e-03	1.91e-03	-3.310697	-2.072046	-1.041838	FMOD	fibromodulin
8000890	3.41e-03	1.91e-03	-3.310604	-2.072294	-0.219609	SEPHS2	selenophosphate synthetase 2
8138757	3.41e-03	1.91e-03	-3.310357	-2.072952	-0.305962	HOXA10	homeobox A10
7975224	3.42e-03	1.92e-03	3.309545	-2.075115	0.528184	EIF2S1	eukaryotic translation initiation factor 2 subunit alpha
